"Address","Total Volume","Total Transfer","Total Ditto Bought","Total Ditto Sold","From Block","To Block"
"0x5C28C9B410049A905e4fb454a663BAb06a927CCD","559686.7669735979","186562.255657866","186562.255657866","186562.255657866","5,036,581","5,046,033"
"0x86462C40c07981f0900E0ad3df5D757A9Dc4a184","93763.497904144","46881.868841632","46881.629062512","0","5,036,581","5,046,033"
"0xc3A1C411b7B895997cc37Eec950Cf5026C6016c7","46036.44340781","0","46036.44340781","0","5,036,581","5,046,033"
"0xf43731a92EcE86Bb8a7D200a8481D5BEE1A77bdB","43558.200337384","21779.100168692","21779.100168692","0","5,036,581","5,046,033"
"0x73AD197CE8B2859F95D73b4257e3878204F0b849","41974.899966865","27983.200203469998","13991.699763395","0","5,036,581","5,046,033"
"0x70D8929d04b60Af4fb9B58713eBcf18765aDE422","32372.334254148","0","0","32372.334254148","5,036,581","5,046,033"
"0x957Cf4F4F0e81fB1F0a0873abCB8F3dB8282fD7B","31312.152926855997","15656.076463427999","15656.076463427999","0","5,036,581","5,046,033"
"0x7ECD2aA5190B77927a360a96c81623652B45073D","29851.489411224","14925.744705612","14925.744705612","0","5,036,581","5,046,033"
"0xD62677607C44bDf809C3C6DE074a0dF7eFCc0Fb5","29754.785368726003","10331.646245385","19423.139123341003","0","5,036,581","5,046,033"
"0x0D3CAE1ff719D6A2aC0Fcd7Cd22F599caC64B6EC","28268.779618727","28268.779618727","0","0","5,036,581","5,046,033"
"0x4a1D652Dfb96eec4cF8b7245A278296d6FdE632A","26915.997431862","0","26915.997431862","0","5,036,581","5,046,033"
"0xC8F78497C72A2940Ca5bC1795c79d48d42B246A4","26206.396602216002","9801.862075842","16404.534526374002","0","5,036,581","5,046,033"
"0x288D08f8705A9Fc2e6D0d11b0ACaA91492ff6DFA","24341.007018999997","8557.14706291","15783.859956089998","0","5,036,581","5,046,033"
"0x45E719c2c6a97D9D53103BB01613665B7cECba31","24105.284916103","0","24105.284916103","0","5,036,581","5,046,033"
"0x1645a494D8c2Ec1bA752781D4126DBC91010495e","22071.483000737","0","22071.483000737","0","5,036,581","5,046,033"
"0x297E3e1b23CdF212d93885CdeA78fAD626b31cb7","21695.712276328","21695.712276328","0","0","5,036,581","5,046,033"
"0x4817D574bdBA24A3a8302a747e514C6E1a2e98eF","19655","19655","0","0","5,036,581","5,046,033"
"0x72c29B863fAafcbFE1Db1A195c129BA8dC8e7e00","16557.215501701","16557.215501701","0","0","5,036,581","5,046,033"
"0xC055a07c7F51745290D3F348dea565ec0FC5B5D8","16188.785120106","16188.785120106","0","0","5,036,581","5,046,033"
"0xe9F7C9B6c706a01876Fd6ac9D81701CB7B8Da863","15013.813927238","0","15013.813927238","0","5,036,581","5,046,033"
"0x00c143b4c3477DC82D225220b0D37628f1805f0D","14014.96660149","7007.483300745","7007.483300745","0","5,036,581","5,046,033"
