"Address","Total Volume","Total Transfer","Total Ditto Bought","Total Ditto Sold","From Block","To Block"
"0x1F36E46a26d7eDF1c8792Deb4019018dd591B75d","192581.69202042703","80080.41447499201","79833.05139089002","32668.226154545002","4,438,000","4,533,999"
"0x7eE2523b5cdb72e825d64889fFA19B62c44C9300","102158.65418991199","51120.273284409","51038.380905503","0","4,438,000","4,533,999"
"0x470BC451810B312BBb1256f96B0895D95eA659B1","29516.305341168998","29516.305341168998","0","0","4,438,000","4,533,999"
"0x5ca811BbEf41A81D9Ce69BF1876fdf28e938F39a","29005.821260260996","14504.215065298999","14501.606194961998","0","4,438,000","4,533,999"
"0xfd0315B6d5B8A2d8C73072FD105a285b1658A223","21998.15697807","12246.574442428999","9751.582535641","0","4,438,000","4,533,999"
"0xac4EAd9668112B5743C5044F12fEee62B50cd31c","20431.796898704","20431.796898704","0","0","4,438,000","4,533,999"
"0xeb83ca387489Af2C798928d38C84000446F7DC09","18938.208286779998","9724.906948638","9213.301338142","0","4,438,000","4,533,999"
"0x342d5A0520B563d0F6fDbEe619Dde6f33C93E89b","17896.084272035998","8948.042136017999","8948.042136017999","0","4,438,000","4,533,999"
"0xad8d4404FE66E6C79EE112cF43cAA6245A4C97a7","15074.597229472","7537.298614736","7537.298614736","0","4,438,000","4,533,999"
"0x89b93B44b1a5006738EaB59A2737ad9E142D5EC9","15000","0","15000","0","4,438,000","4,533,999"
"0x826811e8b0674cd40B73d9E8De151436C6533278","15000","0","15000","0","4,438,000","4,533,999"
"0x02B6E5135Ca0CD269781f39e28f43173DDE7435c","14447.784270178","7223.99018681","7223.7940833679995","0","4,438,000","4,533,999"
"0x5745e0EdBD721F0549E2Ef22100cb29a8E8C4aC9","13999.462749109","6999.462749109","7000","0","4,438,000","4,533,999"
"0x4311D7034c92c2Dc9F38Fbcf6Df743D7Dc5Db4e2","12320.859635211","12320.859635211","0","0","4,438,000","4,533,999"
"0x8500E7991D2142271716495c30A5DA58Eeb26007","11903.779367865001","6301.946628404","5601.8327394610005","0","4,438,000","4,533,999"
"0x5C9dE63470D0D6d8103f7c83F1Be4F55998706FC","10694.215817658","5347.1079088","5347.107908858","0","4,438,000","4,533,999"
"0x8288fdA1D1B0BF1Bb8D35D6B672D1FC040084f87","10056.876850694","5028.438425347","5028.438425347","0","4,438,000","4,533,999"
"0xb57677FE25c35896560353467a9C78b97074755c","9909.065406231","5708.209952858","4200.855453373","0","4,438,000","4,533,999"
"0xFEE04b4f45B1cb7E5d0a747Dc842440F162f73f5","8187.25436943","4093.627184715","4093.627184715","0","4,438,000","4,533,999"
"0xc3A1C411b7B895997cc37Eec950Cf5026C6016c7","7644.418330878","0","7644.418330878","0","4,438,000","4,533,999"
"0xcc4E31786A29DA13820C4CF179c021D50F17F1c2","6850.737598565998","3425.368799282999","3425.368799282999","0","4,438,000","4,533,999"
"0x064d2AB56D277D5d3117858b060528778Dc176aC","6438.977763498","0","6438.977763498","0","4,438,000","4,533,999"
"0x71AaBeCe380059ad48e943816d8EC479BeA7fB0a","5987.794504167","4106.794504167","1881","0","4,438,000","4,533,999"
"0x24266b04b3c96B1bAB4704F7c59bE7123bcd2B70","5900.017737657","2951.423256525","2948.594481132","0","4,438,000","4,533,999"
"0x270b01C5Fd34db3978ACd3ca5eDF3deD9B851226","5799.714845872","2899.857422936","2899.857422936","0","4,438,000","4,533,999"
"0x2b33dE263b615a2b8Acc0a6bFB55e4E67811f1cE","5433.324928923001","2720.0349499940003","2713.2899789290004","0","4,438,000","4,533,999"
"0x88F7541D87b7f3c88115A5b2387587263c5d4C7E","5305.992652117","2812.944004124","2493.048647993","0","4,438,000","4,533,999"
"0x2B8Bf21E37061Bd5F949d5ffd7E5D0f8815C5F57","4971.043176272","1656.526891173","1657.989393926","1656.526891173","4,438,000","4,533,999"
"0x97565F965e5fB10787bC065db78d9faEe3667511","4772.569529687","3191.013384252","1581.556145435","0","4,438,000","4,533,999"
"0x17D3D1bf9E67e82b36e14D77f339badF1b114Cad","4433.868876704","2216.934438352","2216.934438352","0","4,438,000","4,533,999"
"0x13cF992B11BCefe66AB274FC25d0d57Fc53A5950","4404.491045263","2227.988177045","2176.502868218","0","4,438,000","4,533,999"
"0xd4eE6fB0279634C866bAE5F494B2081603F9498E","4316.02355679","2082.424068071","2233.599488719","0","4,438,000","4,533,999"
"0xC055a07c7F51745290D3F348dea565ec0FC5B5D8","4082.690126473","4082.690126473","0","0","4,438,000","4,533,999"
"0x8dFc298C549aC38F208508bB9fBC0373d45dE502","3930.7411590029997","1971.8885635689999","1958.852595434","0","4,438,000","4,533,999"
"0xF3aD9dc55710cE3676055735f34Aa0C37DC82291","3634.507131251","2395.175179503","1239.331951748","0","4,438,000","4,533,999"
"0xbCD62661A6b1DEd703585d3aF7d7649Ef4dcDB5c","3594.2930762180004","0","0","3594.2930762180004","4,438,000","4,533,999"
"0x617250Fc0d7ab1023228b82F7264030b4de08293","3280.461023554","1640.230511777","1640.230511777","0","4,438,000","4,533,999"
"0x1C43a8B9b921D45d6d1fe8B70D6fC71199303Ba9","3175.009278126","1587.504639063","1587.504639063","0","4,438,000","4,533,999"
"0xA71F1c19a9e655D8f3E394d6E78193cB966e8fE2","3154.224743877","1565.792378203","1588.4323656740003","0","4,438,000","4,533,999"
"0x819D9fF8549eD1395B98BF23aB5f59E876419a5E","3053.115413874","0","3053.115413874","0","4,438,000","4,533,999"
"0x995E377e8D5200e3AC61Fd919C06B9aD45d743D4","3007.390679002","2880.316188425","127.074490577","0","4,438,000","4,533,999"
"0x99CE2eC80940d03a30898421654A038E75ab54A8","2990.1467684369995","2218.8996309629997","771.2471374739998","0","4,438,000","4,533,999"
"0x64FaB1755AD397c6eE851aa506CBb7CaD13AC8dd","2913.1926895640004","1456.9933856920002","1456.1993038720002","0","4,438,000","4,533,999"
"0xA10d11eB58c417b639fa977c297275e6db6acFCf","2862.19883096","1431.09941548","0","1431.09941548","4,438,000","4,533,999"
"0x082757345d70785a64D3c70dEdf0C3236Cd84c22","2261.312856007","1131.385843243","1129.927012764","0","4,438,000","4,533,999"
"0xa5889D266d96b5DF7dc6454B20E88C4b06f6B59e","2221.1309559519996","1110.5654779759998","1110.5654779759998","0","4,438,000","4,533,999"
"0x3F3fe93175d8D963feBFAd182168fd754e1451FC","2206.673606278","1103.336803139","1103.336803139","0","4,438,000","4,533,999"
"0x0B99d5983D9dA00CF3A64Fa82e13db33ac03265A","2205.324281119","1375.094230341","830.230050778","0","4,438,000","4,533,999"
"0xe95Ff14AE44C494F1a0b946284eAD909605112d9","2149.689681678","1074.844840839","1074.844840839","0","4,438,000","4,533,999"
"0x09dc113b466285e37F37A8Ad467246c04addAb8d","1994.650903228","1000","994.650903228","0","4,438,000","4,533,999"
"0x0f7Cf9bB390F1F9ad09c18D4132C6b027D5DA828","1971","1971","0","0","4,438,000","4,533,999"
"0x20bCC3b8a0091dDac2d0BC30F68E6CBb97de59Cd","1900.408869714","0","0","1900.408869714","4,438,000","4,533,999"
"0xb4e685682a321d1e75C6837f38d2831A59c3E63c","1696.932765732","848.466382866","848.466382866","0","4,438,000","4,533,999"
"0x0D3CAE1ff719D6A2aC0Fcd7Cd22F599caC64B6EC","1600","0","1600","0","4,438,000","4,533,999"
"0xa8Fe6fa4600BD88dd8305e7c4B7464183c0573cF","1574.243447496","1074.243447496","500","0","4,438,000","4,533,999"
"0x17e3597F156a309b0Fd31FBeC6760D8400B518B5","1522.347133257","0","1522.347133257","0","4,438,000","4,533,999"
"0xcDE2743d021b1932EAa905964793dd5F6E0e28D8","1470.2715382249999","478.13706885","992.134469375","0","4,438,000","4,533,999"
"0xAbDEb14703c5800E66579B39298A4F1Af26024D0","1401.048950281","701.048950281","700","0","4,438,000","4,533,999"
"0x4341f3Ac194a15C6125329aff3c77309b739cd7d","1313.2742809410001","660.452465464","652.821815477","0","4,438,000","4,533,999"
"0xfe2957e8b5FbC827A20e6f7AA6f28A7a89A37eAb","1304.101320848","652.050660424","652.050660424","0","4,438,000","4,533,999"
"0xe5304aB6682ef9CaFe9207d069DcD91Dd7034de6","1300","650","650","0","4,438,000","4,533,999"
"0xAAE2e6F0C0aa1C0465CC179f5ab120652e5Be5b1","1283.667206102","641.833603051","641.833603051","0","4,438,000","4,533,999"
"0x164572AcFf302AC81C257299fC5c2a074f069C34","1255.254045856","193.45943541","1061.794610446","0","4,438,000","4,533,999"
"0x136932398cA783127689B83Cb09f9F378A820DD0","1233.673894517","618.194953297","615.47894122","0","4,438,000","4,533,999"
"0x706cd6684213F71f29C8feab39A5f57ED3636600","1230","1230","0","0","4,438,000","4,533,999"
"0x78F6c325c01a9769861579c5f7AfD974D5B5bc25","1220.442829866","610.221414933","610.221414933","0","4,438,000","4,533,999"
"0xf43e6088b2C5ADE7082FCea06B0fD29dED970d70","1215.5842968979998","607.7921484489999","607.7921484489999","0","4,438,000","4,533,999"
"0x788A07b8Df7F5DB17a0C2E032E262C462B44a6D3","1212.8808864349999","612.40604718","600.474839255","0","4,438,000","4,533,999"
"0xef57A41126E2854106E2Ff6E280fba5F044f638f","1204.132117639","609.003365825","595.128751814","0","4,438,000","4,533,999"
"0xfC40b296038F8FA8E1FA9E289bE8655988652784","1162.558163362","521.275028005","641.283135357","0","4,438,000","4,533,999"
"0x1D1722028AfdB9ee6531B3da15e365Df6e41765c","1161.448581692","580.726460341","580.7221213509999","0","4,438,000","4,533,999"
"0x25e10Fbe200A0A16864188a1d0b2C14F9dB1Ce11","1157.751907676","578.875953838","578.875953838","0","4,438,000","4,533,999"
"0xB3Bed57FdEfeaf5F1a6ce4af440c50b8e6890fad","1147.910396316","573.955198158","573.955198158","0","4,438,000","4,533,999"
"0xEbfbfA8e7EF5d5864EF60e343A5Fa109d643076D","1117.9102611980002","558.9551305990001","558.9551305990001","0","4,438,000","4,533,999"
"0x2c753400582031C897c51268699E8cad26A817a1","1091.412104879","1091.412104879","0","0","4,438,000","4,533,999"
"0x346df7343190CDc300cdA6FC4Df273336E27D6D5","1089.267797856","1089.267797856","0","0","4,438,000","4,533,999"
"0x8b23d55a49524d1637b45f5fe4aE1A13EBDf6677","1078.774958018","539.640148937","539.134809081","0","4,438,000","4,533,999"
"0xfed492def901a709052DaC6Ff79EE61539dD4b26","1063.46349349","531.731746745","531.731746745","0","4,438,000","4,533,999"
"0x7FCF2850C0C58bb6173A6e112E54e66D52885A8F","1037.79554455","518.897772275","518.897772275","0","4,438,000","4,533,999"
"0x6a735bDd4EaE667c7BFb2f22fE019A6385A0F57e","1033.133221983","516.566625489","516.566596494","0","4,438,000","4,533,999"
"0x4edf7Ec81c45d5E88e4953FE05aB7f80544955DC","1027.257916928","513.628958464","513.628958464","0","4,438,000","4,533,999"
"0x1486EC3AfA21c8D32B98525d294129C068f6993b","1024","512","512","0","4,438,000","4,533,999"
"0xBE7714F40509A127432bf0B8F9B9a9BBacf328c1","1014.88540199","487.758138057","527.127263933","0","4,438,000","4,533,999"
"0x6DE86C83be6Ae7c8Ca781D5dB53e896E2fFe1738","1002.980675306","501.490337653","501.490337653","0","4,438,000","4,533,999"
"0x2ce7fB22e343aD83e080550Ba6B2EEDD23305b2D","1001.292210492","500.646105246","500.646105246","0","4,438,000","4,533,999"
"0x423D0ac00F69f0CB2eC0199c4714B41a45147315","1000","0","1000","0","4,438,000","4,533,999"
"0xac7951800ec46d1A1a5a8B5F76507e1bEE529692","985.581382176","0","985.581382176","0","4,438,000","4,533,999"
"0xC6974343724D389806010523E6E60Bd300f05E0e","983.746696505","0","983.746696505","0","4,438,000","4,533,999"
"0x2320A38D525a7539CF6e24FC3A9197ee7e496674","956.1632464869999","478.130379605","478.032866882","0","4,438,000","4,533,999"
"0x89957D976BC06C5C99a12e067256C769E8267774","938.517821499","0","938.517821499","0","4,438,000","4,533,999"
"0x57E0E38b497431d456e972CB0AC7fA92b6CcE60D","893.130683989","893.130683989","0","0","4,438,000","4,533,999"
"0x2968296A6E6b6d88A22d00b298907274616b0e16","878.5860996900001","444.895229717","433.690869973","0","4,438,000","4,533,999"
"0x7A8E7b7197E94D2Cb194DBED7a80575c047A7575","870.912552195","0","870.912552195","0","4,438,000","4,533,999"
"0x33279E8DF05fd4dCf24eCcF7EFbe460c8E352Ce6","840.397915026","422.431763721","417.966151305","0","4,438,000","4,533,999"
"0x6D3c00dBCA9d945A1492e2851e4689D2B2a196E0","815.536327839","415.536327839","400","0","4,438,000","4,533,999"
"0xCC5b789e7d4F0B336855bD9b47e644f7E55fA156","813.4143367280001","541.562048108","271.85228862","0","4,438,000","4,533,999"
"0xb8a6E31770047F22d16313cDe5402115E15Ee7ab","805.538056145","404.219116158","401.318939987","0","4,438,000","4,533,999"
"0x24F535c9501f4e5A9EAEE014750dd3340F3202e1","719.110669853","268.650563768","450.460106085","0","4,438,000","4,533,999"
"0x000000aC89e4A66919059f45Bf3e8d1700B42731","711.496620107","0","0","711.496620107","4,438,000","4,533,999"
"0x26C9Cd3d1402a06ea755563cB2823828334E3C2F","683.317549276","465.443040441","217.874508835","0","4,438,000","4,533,999"
"0x6217106b61eA0CB7E8d386E0DeAD21F4FD163F16","667.372720334","333.686360167","333.686360167","0","4,438,000","4,533,999"
"0xA8C2d489B76E5a09C31975364Ce1bBfDCd84bc4b","651.381077641","651.381077641","0","0","4,438,000","4,533,999"
"0x1A4A5c0e4291b95eEbD347Fee42b1DF43E2f3063","648.26523815","325.176005089","323.089233061","0","4,438,000","4,533,999"
"0x3e39303AA653Ab7A471410409DB0dff827Cc479b","627.633563589","0","627.633563589","0","4,438,000","4,533,999"
"0x20f290838E56D92Ed30f84E0314176E42446775C","621.683679912","0","621.683679912","0","4,438,000","4,533,999"
"0xbd3d8E7957A779c86efc915c6722681BA8B8A06E","618.743618287","0","0","618.743618287","4,438,000","4,533,999"
